 1.58489319e+03  9.99999999e-02 -8.96147119e-09  1.58489319e+03  1.00004099e-01  3.94301216e-04  1.58489319e+03  9.99968203e-02 -3.31576822e-04 
 1.99526231e+03  9.99999999e-02 -1.12811696e-08  1.99526231e+03  1.00006497e-01  4.96364445e-04  1.99526231e+03  9.99949607e-02 -4.17408038e-04 
 2.51188643e+03  9.99999998e-02 -1.42008458e-08  2.51188643e+03  1.00010295e-01  6.24823222e-04  2.51188643e+03  9.99920140e-02 -5.25440799e-04 
 3.16227766e+03  9.99999996e-02 -1.78752020e-08  3.16227766e+03  1.00016314e-01  7.86480976e-04  3.16227766e+03  9.99873447e-02 -6.61401432e-04 
 3.98107171e+03  9.99999994e-02 -2.24983531e-08  3.98107171e+03  1.00025850e-01  9.89871870e-04  3.98107171e+03  9.99799470e-02 -8.32476873e-04 
 5.01187234e+03  9.99999991e-02 -2.83133934e-08  5.01187234e+03  1.00040953e-01  1.24567832e-03  5.01187234e+03  9.99682290e-02 -1.04767094e-03 
 6.30957344e+03  9.99999986e-02 -3.56238087e-08  6.30957344e+03  1.00064865e-01  1.56722640e-03  6.30957344e+03  9.99496734e-02 -1.31823116e-03 
 7.94328235e+03  9.99999978e-02 -4.48065940e-08  7.94328235e+03  1.00102702e-01  1.97104966e-03  7.94328235e+03  9.99203055e-02 -1.65814321e-03 
 1.00000000e+04  9.99999965e-02 -5.63263009e-08  1.00000000e+04  1.00162514e-01  2.47748104e-03  1.00000000e+04  9.98738628e-02 -2.08466851e-03 
 1.25892541e+04  9.99999944e-02 -7.07478927e-08  1.25892541e+04  1.00256923e-01  3.11116741e-03  1.25892541e+04  9.98005116e-02 -2.61885472e-03 
 1.58489319e+04  9.99999912e-02 -8.87435720e-08  1.58489319e+04  1.00405589e-01  3.90127190e-03  1.58489319e+04  9.96848955e-02 -3.28585549e-03 
 1.99526231e+04  9.99999861e-02 -1.11083569e-07  1.99526231e+04  1.00638821e-01  4.88088453e-03  1.99526231e+04  9.95032407e-02 -4.11471625e-03 
 2.51188643e+04  9.99999781e-02 -1.38591632e-07  2.51188643e+04  1.01002586e-01  6.08473158e-03  2.51188643e+04  9.92192497e-02 -5.13695794e-03 
 3.16227766e+04  9.99999658e-02 -1.72031087e-07  3.16227766e+04  1.01564801e-01  7.54360070e-03  3.16227766e+04  9.87787223e-02 -6.38275631e-03 
 3.98107171e+04  9.99999470e-02 -2.11867946e-07  3.98107171e+04  1.02421611e-01  9.27307965e-03  3.98107171e+04  9.81035802e-02 -7.87278385e-03 
 5.01187234e+04  9.99999188e-02 -2.57845435e-07  5.01187234e+04  1.03699839e-01  1.12538840e-02  5.01187234e+04  9.70877919e-02 -9.60320606e-03 
 6.30957344e+04  9.99998778e-02 -3.08337734e-07  6.30957344e+04  1.05547366e-01  1.34031358e-02  6.30957344e+04  9.56011423e-02 -1.15221562e-02 
 7.94328235e+04  9.99998205e-02 -3.59606996e-07  7.94328235e+04  1.08099179e-01  1.55439229e-02  7.94328235e+04  9.35110841e-02 -1.35010015e-02 
 1.00000000e+05  9.99997453e-02 -4.05429749e-07  1.00000000e+05  1.11411204e-01  1.73960685e-02  1.00000000e+05  9.07328884e-02 -1.53157489e-02 
