 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  0.00000000e+00  1.00000000e-09  0.00000000e+00 
 2.00000000e-09  0.00000000e+00  2.00000000e-09  0.00000000e+00 
 4.00000000e-09  0.00000000e+00  4.00000000e-09  0.00000000e+00 
 8.00000000e-09  0.00000000e+00  8.00000000e-09  0.00000000e+00 
 1.60000000e-08  0.00000000e+00  1.60000000e-08  0.00000000e+00 
 3.20000000e-08  0.00000000e+00  3.20000000e-08  0.00000000e+00 
 6.40000000e-08  0.00000000e+00  6.40000000e-08  0.00000000e+00 
 1.28000000e-07  0.00000000e+00  1.28000000e-07  0.00000000e+00 
 2.28000000e-07  0.00000000e+00  2.28000000e-07  0.00000000e+00 
 3.28000000e-07  0.00000000e+00  3.28000000e-07  0.00000000e+00 
 4.28000000e-07  0.00000000e+00  4.28000000e-07  0.00000000e+00 
 5.28000000e-07  0.00000000e+00  5.28000000e-07  0.00000000e+00 
 6.28000000e-07  0.00000000e+00  6.28000000e-07  0.00000000e+00 
 7.28000000e-07  0.00000000e+00  7.28000000e-07  0.00000000e+00 
 8.28000000e-07  0.00000000e+00  8.28000000e-07  0.00000000e+00 
 9.28000000e-07  0.00000000e+00  9.28000000e-07  0.00000000e+00 
 1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00 
 1.00010000e-06  2.71836633e-02  1.00010000e-06  1.00000000e-01 
 1.00030000e-06  8.15509912e-02  1.00030000e-06  3.00000000e-01 
 1.00070000e-06  1.90285655e-01  1.00070000e-06  7.00000000e-01 
 1.00100000e-06  2.71836659e-01  1.00100000e-06  1.00000000e+00 
 1.00106650e-06  2.71836664e-01  1.00106650e-06  1.00000000e+00 
 1.00119950e-06  2.71836672e-01  1.00119950e-06  1.00000000e+00 
 1.00146550e-06  2.71836690e-01  1.00146550e-06  1.00000000e+00 
 1.00199750e-06  2.71836724e-01  1.00199750e-06  1.00000000e+00 
 1.00306150e-06  2.71836792e-01  1.00306150e-06  1.00000000e+00 
